Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
97,23844,Journal of Combinatorial Theory. Series B,journal,"10960902, 00958956","1,686",Q1,65,90,232,1935,540,232,2.47,21.5,United States,Northern America,Academic Press Inc.,1971-2021,Computational Theory and Mathematics (Q1); Discrete Mathematics and Combinatorics (Q1); Theoretical Computer Science (Q1)
98,23127,Journal of the ACM,journal,"00045411, 1557735X","1,672",Q1,134,38,142,1852,876,129,5.83,48.74,United States,Northern America,Association for Computing Machinery (ACM),1954-2020,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)
99,21100926541,Information and Inference,journal,20498772,"1,659",Q1,26,27,53,991,284,53,5.11,36.7,United States,Northern America,Oxford University Press,2012-2020,Analysis (Q1); Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Numerical Analysis (Q1); Statistics and Probability (Q1)
100,9000153105,Nonlinear Analysis: Hybrid Systems,journal,1751570X,"1,658",Q1,56,104,254,4185,1592,253,6.22,40.24,Netherlands,Western Europe,Elsevier BV,2007-2021,Analysis (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1)
101,8000153138,Computer Science Review,journal,15740137,"1,646",Q1,44,54,61,7789,891,61,12.49,144.24,Ireland,Western Europe,Elsevier Ireland Ltd,2007-2020,Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)
102,21100466714,International Journal of Educational Technology in Higher Education,journal,23659440,"1,642",Q1,29,55,133,3578,1003,128,6.44,65.05,Netherlands,Western Europe,Springer Netherlands,2016-2020,Computer Science Applications (Q1); Education (Q1); E-learning (Q1)
103,17391,IEEE Transactions on Signal Processing,journal,"19410476, 1053587X","1,638",Q1,270,418,1352,18642,10818,1346,7.53,44.6,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1991-2020,Electrical and Electronic Engineering (Q1); Signal Processing (Q1)
104,22140,Mathematics of Operations Research,journal,"15265471, 0364765X","1,619",Q1,83,67,190,2312,783,190,3.83,34.51,United States,Northern America,INFORMS Institute for Operations Research and the Management Sciences,"1976-1989, 1995-2020",Computer Science Applications (Q1); Management Science and Operations Research (Q1); Mathematics (miscellaneous) (Q1)
105,144747,Computer Assisted Language Learning,journal,"17443210, 09588221","1,614",Q1,48,105,164,6168,759,161,3.88,58.74,United Kingdom,Western Europe,Taylor and Francis Ltd.,"1990-1997, 2004-2020",Computer Science Applications (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)
106,4000149002,IEEE Transactions on Information Forensics and Security,journal,15566013,"1,613",Q1,133,285,704,12518,7218,702,10.45,43.92,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2006-2021,"Computer Networks and Communications (Q1); Safety, Risk, Reliability and Quality (Q1)"
107,5100155103,Journal of Informetrics,journal,17511577,"1,605",Q1,76,79,276,3786,1696,245,5.66,47.92,Netherlands,Western Europe,Elsevier BV,2007-2020,Applied Mathematics (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1); Statistics and Probability (Q1)
108,5900153311,IEEE Journal on Selected Topics in Signal Processing,journal,19324553,"1,603",Q1,120,98,343,4753,3617,326,10.37,48.5,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2007-2020,Electrical and Electronic Engineering (Q1); Signal Processing (Q1)
109,18378,IEEE Transactions on Intelligent Transportation Systems,journal,"15580016, 15249050","1,591",Q1,153,595,1026,20731,9523,1015,8.41,34.84,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2000-2020,Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)
110,24772,Knowledge-Based Systems,journal,9507051,"1,587",Q1,121,716,1187,36777,11094,1181,9.42,51.36,Netherlands,Western Europe,Elsevier,1987-2020,Artificial Intelligence (Q1); Information Systems and Management (Q1); Management Information Systems (Q1); Software (Q1)
111,27188,Language Learning and Technology,journal,10943501,"1,585",Q1,73,16,90,635,352,87,3.82,39.69,United States,Northern America,University of Hawaii Press,"1997-1998, 2000-2020",Computer Science Applications (Q1); Education (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)
112,26183,Journal of Computer Assisted Learning,journal,"13652729, 02664909","1,583",Q1,93,86,201,5369,996,199,4.73,62.43,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1985-2020,Computer Science Applications (Q1); Education (Q1); E-learning (Q1)
113,21100857212,Current Opinion in Systems Biology,journal,24523100,"1,576",Q1,21,43,269,2736,800,239,2.9,63.63,United Kingdom,Western Europe,Elsevier Ltd.,2017-2020,"Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computer Science Applications (Q1); Drug Discovery (Q1); Modeling and Simulation (Q1)"
114,17929,BMC Bioinformatics,journal,14712105,"1,567",Q1,208,575,1858,21640,7607,1842,3.51,37.63,United Kingdom,Western Europe,BioMed Central Ltd.,2000-2020,Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q2); Structural Biology (Q2)
115,20896,Telematics and Informatics,journal,7365853,"1,567",Q1,66,96,483,6939,3832,438,7.45,72.28,United Kingdom,Western Europe,Elsevier Ltd.,1984-2020,Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)
116,21933,Decision Support Systems,journal,1679236,"1,564",Q1,151,115,342,7152,2672,338,7.04,62.19,Netherlands,Western Europe,Elsevier,1985-2020,Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)
117,18080,Robotics and Computer-Integrated Manufacturing,journal,7365845,"1,561",Q1,93,139,404,6448,2949,400,7.35,46.39,United Kingdom,Western Europe,Elsevier Ltd.,"1984-1994, 1996-2021",Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)
118,28540,SIAM Journal on Computing,journal,"00975397, 10957111","1,533",Q1,122,62,198,2814,1101,194,4.81,45.39,United States,Northern America,Society for Industrial and Applied Mathematics Publications,1984-2020,Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1)
119,23490,Journal of Scientific Computing,journal,"08857474, 15737691","1,530",Q1,80,261,841,10037,3051,837,3.46,38.46,United States,Northern America,Springer New York,1986-2020,Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Engineering (miscellaneous) (Q1); Numerical Analysis (Q1); Software (Q1); Theoretical Computer Science (Q1)
120,15134,Information Sciences,journal,200255,"1,524",Q1,184,928,2184,40007,17554,2168,7.89,43.11,United States,Northern America,Elsevier Inc.,1968-2021,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)
121,23486,Computing and Visualization in Science,journal,"14329360, 14330369","1,519",Q1,44,17,44,674,138,42,3.62,39.65,Germany,Western Europe,Springer Verlag,"1997-2013, 2015-2020",Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Software (Q1); Theoretical Computer Science (Q1)
122,21100934923,IEEE Communications Standards Magazine,journal,24712825,"1,509",Q1,18,47,173,451,782,97,4.23,9.6,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2017-2020,"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)"
123,24355,Computers and Operations Research,journal,"03050548, 1873765X","1,506",Q1,152,210,755,9383,3837,746,4.85,44.68,United Kingdom,Western Europe,Elsevier Ltd.,1974-2021,Computer Science (miscellaneous) (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)
124,21100228068,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,journal,"19424795, 19424787","1,506",Q1,47,52,107,4054,1347,106,12.82,77.96,United States,Northern America,John Wiley and Sons Inc.,2011-2020,Computer Science (miscellaneous) (Q1)
125,12874,Cognitive Science,journal,"03640213, 15516709","1,498",Q1,114,103,409,6981,1148,394,2.49,67.78,United States,Northern America,Wiley-Blackwell,1977-2020,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1)
126,24823,Pattern Recognition,journal,313203,"1,492",Q1,210,412,1180,19522,12476,1168,10.35,47.38,United Kingdom,Western Europe,Elsevier Ltd.,1968-2021,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1)
127,28457,Computational Mechanics,journal,"14320924, 01787675","1,461",Q1,104,161,410,8854,1838,406,4.3,54.99,Germany,Western Europe,Springer Verlag,1986-2020,Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Mechanics (Q1); Computational Theory and Mathematics (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1)
128,19900192513,Swarm and Evolutionary Computation,journal,22106502,"1,460",Q1,65,100,374,6271,3354,368,8.6,62.71,Netherlands,Western Europe,Elsevier BV,2011-2021,Computer Science (miscellaneous) (Q1); Mathematics (miscellaneous) (Q1)
129,25879,International Journal of Molecular Sciences,journal,"14220067, 16616596","1,455",Q1,162,9786,13259,833161,77153,13098,5.54,85.14,Switzerland,Western Europe,MDPI Multidisciplinary Digital Publishing Institute,2000-2020,Computer Science Applications (Q1); Inorganic Chemistry (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1); Catalysis (Q2); Molecular Biology (Q2)
130,28470,Foundations of Computational Mathematics,journal,"16153383, 16153375","1,451",Q1,65,58,122,2565,733,121,5.9,44.22,United States,Northern America,Springer New York,2001-2020,Analysis (Q1); Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1)
131,18171,Computers and Structures,journal,457949,"1,450",Q1,138,135,469,6688,2256,465,4.87,49.54,United Kingdom,Western Europe,Elsevier Ltd.,1971-2021,Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1)
132,21100854164,IEEE Transactions on Computational Imaging,journal,23339403,"1,442",Q1,9,67,5,3269,51,5,0,48.79,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,"2015-2017, 2020",Computational Mathematics (Q1); Computer Science Applications (Q1); Signal Processing (Q1)
133,19080,Computers in Industry,journal,1663615,"1,432",Q1,100,115,323,6926,3165,319,9.96,60.23,Netherlands,Western Europe,Elsevier,1979-2020,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)
134,15074,European Journal of Information Systems,journal,"0960085X, 14769344","1,426",Q1,108,62,112,5339,629,102,4.71,86.11,United Kingdom,Western Europe,Taylor and Francis Ltd.,1995-2020,Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)
135,21100854831,IEEE Transactions on Cognitive Communications and Networking,journal,23327731,"1,421",Q1,25,127,176,4299,1571,162,6.85,33.85,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2015-2020,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Hardware and Architecture (Q1)
136,18093,Archives of Computational Methods in Engineering,journal,"18861784, 11343060","1,417",Q1,65,166,141,20050,1060,139,6.84,120.78,Netherlands,Western Europe,Springer Netherlands,1994-2020,Applied Mathematics (Q1); Computer Science Applications (Q1)
137,19700188321,Database : the journal of biological databases and curation,journal,17580463,"1,406",Q1,62,131,394,4862,1334,394,3.24,37.11,United Kingdom,Western Europe,Oxford University Press,2009-2020,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)"
138,25040,INFORMS Journal on Computing,journal,"10919856, 15265528","1,403",Q1,80,72,138,2666,411,137,2.83,37.03,United States,Northern America,INFORMS Institute for Operations Research and the Management Sciences,"1996-2001, 2003-2020",Computer Science Applications (Q1); Information Systems (Q1); Management Science and Operations Research (Q1); Software (Q1)
139,18661,Structural and Multidisciplinary Optimization,journal,"16151488, 1615147X","1,402",Q1,117,336,842,15234,4120,838,4.9,45.34,Germany,Western Europe,Springer Verlag,2000-2020,Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Software (Q1)
140,24804,Neural Networks,journal,"08936080, 18792782","1,396",Q1,148,373,580,19774,6106,575,11.02,53.01,United Kingdom,Western Europe,Elsevier Ltd.,1988-2020,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)
141,28352,Ocean Modelling,journal,"14635003, 14635011","1,380",Q1,84,81,279,4981,1000,279,3.66,61.49,Netherlands,Western Europe,Elsevier BV,"1988, 1994, 1999-2020",Atmospheric Science (Q1); Computer Science (miscellaneous) (Q1); Geotechnical Engineering and Engineering Geology (Q1); Oceanography (Q1)
142,21100780794,Engineering,journal,20958099,"1,376",Q1,45,186,372,9769,3152,324,6.73,52.52,United Kingdom,Western Europe,Elsevier Ltd.,2015-2020,Chemical Engineering (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Engineering (miscellaneous) (Q1); Environmental Engineering (Q1); Materials Science (miscellaneous) (Q1)
143,19700167026,IEEE Transactions on Learning Technologies,journal,19391382,"1,376",Q1,47,68,133,3888,709,124,4.35,57.18,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2008-2020,Computer Science Applications (Q1); Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1)
